_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,ask_question_here,ask_question_here:confidence,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment:confidence,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment:confidence,_created_at,orig__golden,orig__unit_id,_updated_at,orig_q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment_gold,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment_gold_reason,orig_q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment_gold,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment_gold_reason,w1,w2,w3,w4
802926411,true,golden,19,"",,,:-d,0.3803,#disappointed,0.9466,,true,,,,,,,#disappointed,,#disappointed,:-d,not confusing,find
802926412,true,golden,13,"",,,#sweetheart,1.0,#ripoff,1.0,,true,,,,#sweetheart,,,#ripoff,,eh,pregnant,#sweetheart,#ripoff
802926413,true,golden,15,"",,,love,0.9421,tacky,0.6724,,true,,,,love,,,"",,tacky,no excuse,mother's,love
802926414,true,golden,16,"",,,lmao,0.5586,#die,0.9355,,true,,,,lmao,,,#die,,lmao,hahaha,doesn't work,#die
802926415,true,golden,17,"",,,woohoo,0.8915,#ignorant,0.9434,,true,,,,woohoo,,,#ignorant,,#ignorant,accept,woohoo,delay
802926416,true,golden,16,"",,,inspiring,1.0,not working,0.6322,,true,,,,inspiring,,,"",,inspiring,offense,can't seem,not working
802926417,true,golden,12,"",,,hehehe,1.0,#coward,1.0,,true,,,,,,,#coward,,np,#coward,hehehe,park
802926418,true,golden,15,"",,,want,0.9265,awful,0.9354,,true,,,,,,,awful,,disbelieve,unsurprising,want,awful
802926419,true,golden,17,"",,,#awesome,1.0,#yuk,0.7664,,true,,,,#awesome,,,"",,#yuk,shocking,#awesome,act
802926420,true,golden,15,"",,,finally,0.5294,#wasteofspace,1.0,,true,,,,,,,#wasteofspace,,person,#wasteofspace,not setting,finally
802926421,true,golden,19,"",,,morning,1.0,#twofaced,0.8361,,true,,,,morning,,,#twofaced,,broke,#twofaced,no mention,morning
802926422,true,golden,15,"",,,luv,1.0,#pissedoff,0.9403,,true,,,,luv,,,"",,#eww,#pleasestop,#pissedoff,luv
802926423,true,golden,14,"",,,#sohappy,1.0,never tried,1.0,,true,,,,#sohappy,,,"",,#sohappy,never tried,photos,teams
802926424,true,golden,14,"",,,#celebrity,0.7803,#stressed,0.9367,,true,,,,,,,#stressed,,bacon,unnecessarily,#celebrity,#stressed
802926425,true,golden,19,"",,,coolest,0.9506,#disappointing,1.0,,true,,,,coolest,,,#disappointing,,social,#disappointing,don't put,coolest
802926426,true,golden,10,"",,,muahahah,1.0,#depressing,0.692,,true,,,,muahahah,,,"",,#mess,#depressing,muahahah,ill
802926428,true,golden,15,"",,,#thebest,1.0,try,0.9358,,true,,,,#thebest,,,try,,hola,no problem,#thebest,try
802926430,true,golden,13,"",,,uncomplaining,0.9247,#insidious,0.709,,true,,,,,,,#insidious,,can't pass,smartass,#insidious,uncomplaining
802926431,true,golden,17,"",,,:p,0.6571,#itsnotokayto,1.0,,true,,,,:p,,,#itsnotokayto,,bought,#itsnotokayto,:p,grown
802926432,true,golden,24,"",,,best,0.7489,disgrace,0.8781,,true,,,,,,,disgrace,,disgrace,yey,best,don't care
802926433,true,golden,18,"",,,thrilled,0.9438,makes,0.7181,,true,,,,thrilled,,,"",,makes,thrilled,villa,songs
802926434,true,golden,21,"",,,birthday,1.0,not true,1.0,,true,,,,birthday,,,not true,,mouths,know,not true,birthday
802926435,true,golden,16,"",,,proper,1.0,horrible,1.0,,true,,,,proper,,,horrible,,late,horrible,unfamiliar,proper
802926436,true,golden,15,"",,,ha,0.8794,stinks,0.9343,,true,,,,ha,,,stinks,,ha,stinks,come,times
802926437,true,golden,15,"",,,goooood,1.0,nobody,0.9306,,true,,,,goooood,,,"",,joke,nobody,goooood,no lag
802926438,true,golden,14,"",,,#phenomenal,0.9275,not good,0.9264,,true,,,,#phenomenal,,,not good,,#phenomenal,girl,misses,not good
802926439,true,golden,17,"",,,twitterverse,0.5206,malfunction,0.9421,,true,,,,,,,malfunction,,malfunction,no agenda,don't feel,twitterverse
802926440,true,golden,20,"",,,yahooo,1.0,#pain,0.6053,,true,,,,yahooo,,,"",,#pain,#trash,yahooo,#dissapointed
802926441,true,golden,18,"",,,#goodvibes,1.0,jumpy,0.8837,,true,,,,#goodvibes,,,"",,start,jumpy,ok,#goodvibes
802926442,true,golden,15,"",,,fabulous,1.0,disgraceful,0.9317,,true,,,,fabulous,,,disgraceful,,feel,prohibit,disgraceful,fabulous
802926443,true,golden,13,"",,,#focused,0.9305,murdered,0.9213,,true,,,,#focused,,,murdered,,#focused,#ungrateful,murdered,guess
802926444,true,golden,15,"",,,#inspiring,1.0,half,0.7333,,true,,,,#inspiring,,,"",,feedback,half,#inspiring,okay
802926445,true,golden,14,"",,,impressed,0.7381,#mybad,0.9327,,true,,,,,,,#mybad,,give,impressed,heheh,#mybad
802926446,true,golden,16,"",,,#peaceful,1.0,#loser,0.8792,,true,,,,#peaceful,,,#loser,,no avail,unready,#loser,#peaceful
802926447,true,golden,19,"",,,wedding,1.0,haven't decided,0.9474,,true,,,,wedding,,,haven't decided,,things,haven't decided,wedding,looking
802926448,true,golden,19,"",,,happy,1.0,sadly,0.8478,,true,,,,happy,,,sadly,,don't want,happy,silence,sadly
802926449,true,golden,13,"",,,yaaay,1.0,aint loyal,0.9247,,true,,,,yaaay,,,aint loyal,,yaaay,aint loyal,not long,haven't tweeted
802926450,true,golden,13,"",,,positive,1.0,bastard,0.9262,,true,,,,positive,,,bastard,,haven't seen,hurt,bastard,positive
802926451,true,golden,20,"",,,pleased,0.8632,failed,0.9596,,true,,,,,,,failed,,#style,failed,hanging,pleased
802926454,true,golden,12,"",,,acoustic,0.8249,disgust,0.8323,,true,,,,,,,disgust,,never smelt,#nopoint,acoustic,disgust
802926455,true,golden,23,"",,,excitedddd,0.9596,#ugly,1.0,,true,,,,excitedddd,,,#ugly,,#middleclass,excitedddd,#ugly,sometimes
802926456,true,golden,22,"",,,yep,0.6118,#killyourself,1.0,,true,,,,yep,,,#killyourself,,wearing,defending,#killyourself,yep
802926457,true,golden,20,"",,,appriciate,0.9509,#oops,0.6049,,true,,,,appriciate,,,#oops,,#oops,appriciate,don't need,boy
802926458,true,golden,23,"",,,yayy,0.7953,ignore,1.0,,true,,,,yayy,,,ignore,,ignore,#jan1st,yayy,thanx
802926459,true,golden,16,"",,,awesomeness,0.9481,hell,1.0,,true,,,,awesomeness,,,hell,,taxes,awesomeness,hee,hell
802926460,true,golden,18,"",,,#happy,1.0,can't buy,0.8382,,true,,,,#happy,,,"",,can't buy,can't fall,#happy,tummy
802926461,true,golden,16,"",,,no rush,0.5519,#cruel,1.0,,true,,,,,,,#cruel,,no rush,following,unfair,#cruel
802926462,true,golden,15,"",,,garden,1.0,#broken,1.0,,true,,,,garden,,,#broken,,can't watch,not ready,#broken,garden
802926463,true,golden,15,"",,,#motivated,1.0,#disgraceful,1.0,,true,,,,#motivated,,,#disgraceful,,saying,#disgraceful,#motivated,ya
802926464,true,golden,14,"",,,human,0.8485,disgusts,0.8618,,true,,,,,,,disgusts,,human,name,ignorant,disgusts
802926465,true,golden,13,"",,,satisfied,1.0,#no,1.0,,true,,,,satisfied,,,#no,,satisfied,#no,days,continue
802926466,true,golden,14,"",,,superb,1.0,#vomit,1.0,,true,,,,superb,,,#vomit,,superb,breakfast,#vomit,thinks
802926467,true,golden,11,"",,,liked,1.0,useless,1.0,,true,,,,liked,,,useless,,don't listen,useless,liked,don't talk
802926468,true,golden,15,"",,,;-),1.0,morons,1.0,,true,,,,;-),,,morons,,excerpt,hours,;-),morons
802926469,true,golden,13,"",,,dad,0.9298,#dirty,0.38,,true,,,,dad,,,"",,#dontyouhate,dad,embarrassed,#dirty
802926470,true,golden,16,"",,,#magical,0.7489,#flu,1.0,,true,,,,"#magical
friends","",,#flu,"",#magical,friends,#flu,not obsessed
802926471,true,golden,16,"",,,#lovely,0.9443,#disturbing,1.0,,true,,,,,,,#disturbing,,friend,#lovely,#sassy,#disturbing
802926472,true,golden,20,"",,,#happytweet,0.951,broken,1.0,,true,,,,#happytweet,,,broken,,#happytweet,using,broken,couldn't resist
802926473,true,golden,22,"",,,brothers,1.0,horrendous,0.9119,,true,,,,brothers,,,horrendous,,old,brothers,horrendous,can't stand
802926474,true,golden,29,"",,,moment,0.5463,no fun,0.9158,,true,,,,:d,,,no fun,,no fun,:d,moment,whoever
802926475,true,golden,18,"",,,#education,0.8859,scarred,0.5349,,true,,,,#education,,,"",,low,):,#education,scarred
802926476,true,golden,19,"",,,#partytime,0.8473,#getalife,0.9018,,true,,,,#partytime,,,#getalife,,#partytime,#getalife,#good'night,link
802926477,true,golden,18,"",,,#love,1.0,#whore,0.9397,,true,,,,#love,,,"",,#whore,told,#love,#idiot
802926478,true,golden,14,"",,,lot,1.0,kill,0.7928,,true,,,,lot,,,"",,lot,stunk,#cheat,kill
802926479,true,golden,16,"",,,yumm,1.0,not cool,1.0,,true,,,,yumm,,,not cool,,yumm,not cool,rock,piece
802926480,true,golden,22,"",,,moon,0.5001,can't teach,1.0,,true,,,,,,,can't teach,,nighty,followers,can't teach,moon
802926481,true,golden,16,"",,,can't complain,0.7558,shameful,0.6884,,true,,,,can't complain,,,shameful,,can't complain,ache,sounds,shameful
802926482,true,golden,16,"",,,thanking,0.9373,#shocking,0.9407,,true,,,,,,,#shocking,,nothing beats,#shocking,thanking,email
802926483,true,golden,11,"",,,#flawless,1.0,sad,1.0,,true,,,,#flawless,,,sad,,#flawless,nite,cd,sad
802926484,true,golden,22,"",,,won,0.9598,#idiots,0.9158,,true,,,,won,,,"",,chai,lonely,#idiots,won
802926485,true,golden,16,"",,,woooohoooo,0.7571,no competition,0.817,,true,,,,woooohoooo,,,no competition,,hahahaha,woooohoooo,:'),no competition
802926488,true,golden,18,"",,,got,0.839,badly,0.4481,,true,,,,got,,,"",,smfh,got,#stop,badly
802926489,true,golden,19,"",,,#littlethings,1.0,#feelsick,0.9057,,true,,,,#littlethings,,,"",,ew,#feelsick,#littlethings,can't read
802926490,true,golden,18,"",,,#happiness,1.0,can't bare,0.6258,,true,,,,#happiness,,,can't bare,,#happiness,#everyonelikesitbutme,never happen,can't bare
802926491,true,golden,16,"",,,party,1.0,died,1.0,,true,,,,party,,,died,,day,ouch,party,died
802926492,true,golden,15,"",,,fan,0.9399,#gross,1.0,,true,,,,fan,,,#gross,,not surprising,#gross,fan,needed
802926493,true,golden,14,"",,,star,0.7169,can't help,0.9389,,true,,,,,,,can't help,,star,not picky,can't help,shopping
802926494,true,golden,17,"",,,food,0.5242,#desperate,1.0,,true,,,,,,,#desperate,,#desperate,shout-out,food,imported
802926495,true,golden,16,"",,,loving,1.0,#hideous,0.8806,,true,,,,loving,,,#hideous,,don't wear,cry,#hideous,loving
802926496,true,golden,14,"",,,awards,0.5016,#filth,1.0,,true,,,,"gooooood
awards","",,#filth,"",gooooood,#filth,awards,learn
802926498,true,golden,16,"",,,laughable,0.6264,black,0.4359,,true,,,,no problemm,,,oh,,black,oh,laughable,no problemm
802926499,true,golden,17,"",,,look,0.9416,disapprove,0.7606,,true,,,,look,,,"",,disapprove,last,look,#bum
802926500,true,golden,18,"",,,loved,0.9428,#selfmadesavagez,0.774,,true,,,,loved,,,"",,loved,never hated,rise,#selfmadesavagez
802926501,true,golden,14,"",,,enjoyed,0.8619,dude,0.7913,,true,,,,enjoyed,,,"",,enjoyed,dude,care,hun
802926502,true,golden,17,"",,,cant waitttt,0.6527,#sorrynotsorry,0.7151,,true,,,,"#gotit
cant waitttt","",,"#sorrynotsorry
defense","",#gotit,cant waitttt,#sorrynotsorry,defense
802926503,true,golden,13,"",,,not dissapoint,0.5409,dirty,1.0,,true,,,,,,,dirty,,gotta,not dissapoint,dirty,unwrap
802926504,true,golden,19,"",,,#spectacular,1.0,outta,0.5264,,true,,,,#spectacular,,,"",,#spectacular,outta,girls,maybe
802926507,true,golden,15,"",,,helpful,0.6054,spoiled,0.9338,,true,,,,,,,spoiled,,spoiled,#smashing,helpful,tea
802926508,true,golden,22,"",,,#glamour,0.6305,tragedy,0.9548,,true,,,,"#glamour
baby","",,tragedy,"",tragedy,#glamour,disloyal,baby
802926509,true,golden,14,"",,,add,0.7892,disturbing,1.0,,true,,,,,,,disturbing,,list,disturbing,tired,add
802926510,true,golden,15,"",,,never tasted,0.5599,#useless,0.589,,true,,,,never tasted,,,"",,#eurgh,can't cope,#useless,never tasted
802926511,true,golden,18,"",,,featured,0.3856,;d,0.5582,,true,,,,;d,,,"",,whole,;d,adverts,featured
802926512,true,golden,25,"",,,#bravo,0.9283,#selfish,0.9589,,true,,,,#bravo,,,#selfish,,no reason,bank,#bravo,#selfish
802926513,true,golden,18,"",,,#talent,1.0,death,0.8346,,true,,,,#talent,,,"",,#talent,death,dreadful,#creepy
802926514,true,golden,17,"",,,giveaway,0.8114,despise,0.9015,,true,,,,,,,despise,,can't stop,despise,giveaway,asking
802926515,true,golden,18,"",,,woke,0.8985,vile,0.8434,,true,,,,,,,vile,,vile,drama,can't sleep,woke
802926516,true,golden,19,"",,,xoxo,0.9522,filthy,0.577,,true,,,,xoxo,,,"",,hide,xoxo,filthy,#classless
802926517,true,golden,15,"",,,teach,0.8848,#heartless,1.0,,true,,,,teach,,,#heartless,,need,#heartless,teach,won't let
802926518,true,golden,16,"",,,awesome,0.9523,sinister,1.0,,true,,,,awesome,,,sinister,,awesome,haven't played,relationship,sinister
802926519,true,golden,16,"",,,magnificent,0.691,Err:511,0.6882,,true,,,,"pleasure
magnificent","",,"","",pleasure,apology,Err:511,magnificent
802926520,true,golden,17,"",,,no probs,0.94,#embarrassing,0.774,,true,,,,no probs,,,"",,swear,#embarrassing,no probs,boycott
802926521,true,golden,14,"",,,lmfao,0.6622,answer,0.663,,true,,,,,,,answer,,lmfao,thankyou,answer,movie
802926522,true,golden,11,"",,,not embarrassed,0.6272,horrific,1.0,,true,,,,,,,horrific,,horrific,not embarrassed,#needcuddles,can't connect
802926523,true,golden,16,"",,,#confident,1.0,mad,1.0,,true,,,,#confident,,,"",,can't beat,mad,bit,#confident
802926524,true,golden,18,"",,,:),1.0,#unwanted,0.8325,,true,,,,:),,,"",,dumb,:),attention,#unwanted
802926525,true,golden,15,"",,,mom,1.0,lie,0.5316,,true,,,,mom,,,"",,lie,mom,writing,not happy
802926526,true,golden,25,"",,,hi-5,0.7734,horror,1.0,,true,,,,hi-5,,,horror,,horror,don't know,class,hi-5
802926527,true,golden,20,"",,,#sweet,0.9602,ignored,1.0,,true,,,,#sweet,"",,"ignored
apologise","",keep,#sweet,ignored,apologise
802926528,true,golden,18,"",,,elegant,0.8886,hate,1.0,,true,,,,elegant,,,hate,,no negative,don't notice,hate,elegant
802926529,true,golden,17,"",,,bday,1.0,damn,0.8247,,true,,,,bday,,,"",,anyway,no idea,bday,damn
802926530,true,golden,14,"",,,band,1.0,#rude,0.5732,,true,,,,band,,,"",,#dumb,band,eww,#rude
802926533,true,golden,17,"",,,beautiful,0.7589,#wrong,1.0,,true,,,,,,,#wrong,,#wrong,elegance,beautiful,not necessarily
802926534,true,golden,18,"",,,#inspirational,1.0,embarrassment,1.0,,true,,,,#inspirational,,,embarrassment,,#inspirational,unfollowed,interview,embarrassment
802926535,true,golden,21,"",,,bet,0.4349,#lowlife,0.92,,true,,,,,,,#lowlife,,not buying,#lowlife,busy,bet
802926536,true,golden,19,"",,,thx,1.0,#annoying,0.8411,,true,,,,thx,,,"",,#annoying,#whoops,thx,#slag
802926537,true,golden,15,"",,,<3,0.804,poor,1.0,,true,,,,,,,poor,,poor,cool,<3,heehee
802926538,true,golden,17,"",,,promoz,0.581,disgusting,1.0,,true,,,,,,,disgusting,,#student,promoz,disgusting,not planning
802926539,true,golden,15,"",,,yays,0.8734,doesn't dampen,0.4646,,true,,,,yays,,,"",,yays,take,doesn't dampen,grade
802926540,true,golden,18,"",,,hahah,0.9481,gonna,0.7254,,true,,,,hahah,,,"",,video,hahah,gonna,photo
802926541,true,golden,12,"",,,goooodnight,1.0,abuse,0.6702,,true,,,,goooodnight,,,"",,goooodnight,thought,abuse,#heartbroken
802926542,true,golden,20,"",,,totally,1.0,can't handle,0.795,,true,,,,totally,,,"",,awkward,totally,missing,can't handle
802926543,true,golden,22,"",,,#feelinggood,1.0,not worth,1.0,,true,,,,#feelinggood,,,not worth,,found,#feelinggood,not worth,chillin
802926544,true,golden,14,"",,,approve,0.9383,mean,0.6495,,true,,,,approve,,,"",,haven't talked,#needalife,approve,mean
802926545,true,golden,12,"",,,#fantastic,1.0,assure,0.8291,,true,,,,,,,assure,,assure,cute,#fantastic,sweet
802926546,true,golden,15,"",,,#gorgeous,0.9342,appalling,1.0,,true,,,,#gorgeous,,,appalling,,appalling,#giveaway,#gorgeous,listening
802926548,true,golden,15,"",,,wine,0.608,#fuckoff,1.0,,true,,,,,,,#fuckoff,,#fuckoff,wine,met,say
802926549,true,golden,18,"",,,#dreamy,0.6679,#disgusting,1.0,,true,,,,,,,#disgusting,,#disgusting,#dreamy,no damage,cheers
802926550,true,golden,15,"",,,sunshine,0.9327,not fair,0.8129,,true,,,,sunshine,,,not fair,,not fair,sunshine,breeze,can't cook
802926551,true,golden,15,"",,,push,0.8726,fucked,0.9425,,true,,,,,,,fucked,,fucked,push, false,not attainable
802926552,true,golden,14,"",,,#graceful,1.0,-_-,0.7795,,true,,,,#graceful,,,"",,#graceful,#cosmetics,spreading,-_-
802926553,true,golden,17,"",,,smilin,0.9419,#notokay,1.0,,true,,,,,,,#notokay,,smilin,kids,can't pull,#notokay
802926554,true,golden,19,"",,,refreshed,0.6257,:s,0.6867,,true,,,,,,,:s,,:s,refreshed,book,can't waaait
802926555,true,golden,23,"",,,amused,0.8671,fuckin,0.6958,,true,,,,"recommends
amused","",,"fuckin
#needy","",fuckin,recommends,amused,#needy
802926556,true,golden,14,"",,,howdy,0.926,#angry,1.0,,true,,,,,,,#angry,,howdy,little,house,#angry
802926559,true,golden,15,"",,,#inspired,1.0,make,0.5283,,true,,,,#inspired,,,"",,recommendations,make,#inspired,evening
802926560,true,golden,18,"",,,:],0.7819,worried,1.0,,true,,,,:],,,"",,blush, true,worried,:]
802926561,true,golden,22,"",,,#inspire,1.0,#rantover,0.597,,true,,,,#inspire,,,#rantover,,meet,#rantover,don't try,#inspire
802926562,true,golden,16,"",,,w00t,1.0,no morals,0.884,,true,,,,w00t,,,no morals,,miss,ciao,w00t,no morals
802926563,true,golden,18,"",,,amusing,0.8911,shot,0.8875,,true,,,,"amusing
woho","",,shot,"",shot,amusing,woho,breath
802926564,true,golden,10,"",,,stimulate,1.0,#hurt,0.4048,,true,,,,stimulate,,,"",,#pitiful,stimulate,#hurt,rip
802926565,true,golden,12,"",,,not random,0.9249,#fail,0.5033,,true,,,,not random,,,"",,not random,hopeless,#petpeeve,#fail
802926566,true,golden,9,"",,,time,0.4665,#horrendous,1.0,,true,,,,,,,#horrendous,,#horrendous,plan,time,serious
802926567,true,golden,17,"",,,#relaxation,0.9401,beg,0.822,,true,,,,#relaxation,,,"",,not looking,#relaxation,beg,not hatin
802926568,true,golden,17,"",,,#breathtaking,1.0,#immature,1.0,,true,,,,#breathtaking,,,#immature,,long,#breathtaking,amount,#immature
802926569,true,golden,24,"",,,hear,1.0,revolting,1.0,,true,,,,hear,,,revolting,,revolting,not paying,don't actually,hear
802926570,true,golden,20,"",,,congrats,1.0,working,0.9533,,true,,,,congrats,,,"",,send,self,congrats,working
802926571,true,golden,17,"",,,g'night,1.0,mediocrity,0.8924,,true,,,,g'night,,,mediocrity,,no alarm,g'night,waiting,mediocrity
802926572,true,golden,10,"",,,#encouraging,1.0,no pressure,0.3917,,true,,,,#encouraging,,,"",,no pressure,#encouraging,train,calling
802926573,true,golden,16,"",,,introduce,0.9387,#shame,0.9369,,true,,,,introduce,,,#shame,,introduce,#shame,wasted,haven't heard
802926574,true,golden,20,"",,,unsure,0.8555,shootings,0.5159,,true,,,,unsure,,,"",,unsure,woeful,scariest,shootings
802926575,true,golden,21,"",,,fantastic,1.0,sleazy,0.575,,true,,,,fantastic,,,"",,fantastic,#sosad,sleazy,#fat
802926576,true,golden,12,"",,,phone,0.7484,abysmal,0.6795,,true,,,,phone,,,abysmal,,#help,phone,abysmal,#weak
802926578,true,golden,13,"",,,peek,0.9155,#notgoodenough,1.0,,true,,,,,,,#notgoodenough,,hard,#notgoodenough,peek,public
802926579,true,golden,24,"",,,lmaoo,0.9312,worse,0.7554,,true,,,,lmaoo,,,"",,worse,lmaoo,don't think,no balls
